,war,score,hit,homerun,runbat,OPS
0,35.10,644,1155,136,607,787
1,31.76,618,1069,144,594,768
2,29.69,639,1138,108,593,761
3,24.67,554,1041,87,505,717
4,21.59,583,1072,73,533,717
5,14.99,501,1054,59,458,672
6,12.58,426,976,51,395,652
7,11.64,472,1009,53,430,658
8,32.47,701,1139,138,658,789
9,30.33,663,1213,68,619,782
10,29.36,658,1120,146,620,782
11,26.53,633,1128,124,585,752
12,18.03,547,1096,110,511,725
13,17.73,508,1015,90,459,711
14,17.37,572,1094,108,539,715
15,16.47,518,1061,87,464,709
16,38.88,613,1169,133,592,752
17,30.00,513,1030,95,465,698
18,25.55,496,1069,74,463,689
19,23.87,473,1066,59,442,688
20,21.34,454,982,81,427,664
21,19.11,452,1013,29,422,647
22,10.57,342,913,35,314,595
23,10.15,366,903,46,342,603
24,38.57,655,1204,88,612,767
25,27.19,541,1081,106,510,726
26,26.55,563,1153,93,534,715
27,20.55,489,1072,58,457,680
28,18.49,485,988,91,453,681
29,17.92,494,1027,87,455,675
30,16.46,482,1002,68,444,669
31,15.99,477,1013,75,459,662
32,29.74,629,1154,106,585,725
33,27.29,590,1071,65,552,696
34,26.04,527,1064,79,472,706
35,23.08,558,1047,94,516,699
36,22.98,510,1037,96,477,703
37,20.57,476,1054,83,438,683
38,16.45,431,989,75,397,654
39,16.06,467,965,82,436,650
40,29.94,566,1161,72,543,733
41,26.12,515,1022,92,510,695
42,23.97,545,1085,58,489,709
43,23.56,510,1029,88,478,697
44,22.28,506,1036,98,499,694
45,21.99,522,1000,90,499,699
46,20.09,493,1001,106,462,689
47,14.21,446,1008,82,410,660
48,38.92,722,1194,165,669,819
49,27.63,616,1081,133,578,748
50,27.61,602,1090,110,565,766
51,27.28,590,1109,83,549,737
52,19.84,511,1070,84,481,685
53,18.23,481,1032,102,445,707
54,15.53,497,994,82,459,688
55,9.38,434,962,75,411,650
56,30.89,633,1123,142,587,778
57,28.20,620,1143,143,576,773
58,27.20,609,1131,100,567,740
59,22.82,536,1089,101,499,725
60,19.44,536,1070,86,500,709
61,19.40,520,1080,102,479,700
62,18.01,503,1042,123,472,708
63,16.74,489,1067,94,467,701
64,29.09,731,1268,197,687,838
65,29.08,765,1264,210,723,829
66,28.06,753,1309,145,709,824
67,26.99,748,1244,207,712,812
68,26.54,721,1305,141,693,793
69,26.26,744,1287,145,700,792
70,20.52,699,1210,143,652,777
71,7.43,523,1108,86,496,678
72,38.53,777,1245,208,736,849
73,32.18,694,1325,150,661,800
74,27.09,744,1223,177,708,795
75,27.07,680,1270,180,655,803
76,24.87,687,1239,122,647,770
77,16.87,603,1186,104,553,719
78,15.12,602,1167,105,566,716
79,12.64,588,1137,86,537,696
80,27.89,739,1262,162,695,807
81,27.54,718,1265,121,671,791
82,27.30,732,1266,130,688,780
83,25.55,659,1255,148,628,783
84,25.44,711,1192,169,667,791
85,24.45,683,1263,142,637,782
86,21.70,669,1247,85,630,754
87,13.97,596,1143,113,555,728
88,38.22,777,1321,191,731,831
89,28.11,643,1230,120,611,746
90,26.92,618,1207,158,587,772
91,26.60,658,1160,173,643,774
92,22.50,603,1148,170,570,748
93,21.04,587,1173,130,556,726
94,20.25,583,1173,100,541,717
95,8.23,463,1105,85,443,661
96,37.50,723,1280,175,673,829
97,37.22,769,1295,213,744,842
98,26.26,657,1211,129,626,765
99,25.84,644,1208,156,612,781
100,20.73,563,1251,90,541,736
101,20.36,577,1131,121,521,736
102,13.46,509,1088,106,485,697
103,11.19,491,1143,73,451,682
104,31.88,692,1233,134,653,783
105,28.86,643,1182,143,610,773
106,26.73,641,1215,132,600,757
107,25.97,655,1223,138,626,768
108,24.40,632,1213,140,605,764
109,21.46,606,1200,89,573,723
110,18.50,588,1150,102,554,716
111,15.36,533,1125,88,500,691
112,28.62,622,1163,159,594,775
113,26.13,614,1134,111,575,749
114,25.13,589,1139,122,559,757
115,24.55,563,1071,134,529,743
116,22.48,601,1098,105,554,717
117,21.79,596,1147,63,558,715
118,19.51,541,1102,99,507,717
119,16.20,500,1058,83,470,694
120,26.31,547,1104,92,518,734
121,24.41,511,1057,110,481,711
122,23.78,509,1059,99,488,704
123,23.65,538,1043,73,505,701
124,19.03,476,1067,62,431,681
125,18.97,455,1068,55,425,676
126,18.22,488,1034,88,463,684
127,16.30,457,1037,81,430,661
128,26.77,603,1118,112,568,744
129,26.33,578,1103,78,543,726
130,22.60,532,1160,78,508,713
131,22.40,533,1152,76,501,717
132,22.29,530,1154,96,507,729
133,21.23,534,1050,104,502,718
134,20.97,497,1062,86,469,706
135,17.21,499,1080,73,466,694
136,30.25,632,1222,89,591,765
137,29.70,624,1200,93,590,761
138,27.38,647,1198,68,598,732
139,23.64,592,1086,120,566,728
140,21.64,557,1078,92,520,720
141,17.87,499,1149,70,471,698
142,16.88,503,1095,48,465,689
143,14.06,468,1070,66,447,674
144,29.10,732,1303,166,693,822
145,26.27,685,1224,146,650,796
146,25.90,722,1286,120,669,781
147,24.27,683,1219,153,650,789
148,23.48,657,1241,164,629,774
149,23.41,706,1191,156,671,785
150,21.71,670,1251,129,627,773
151,20.62,637,1223,121,597,773
152,32.99,731,1276,149,706,805
153,32.54,773,1345,185,739,813
154,28.84,681,1207,118,630,774
155,24.72,688,1270,121,652,759
156,24.01,704,1217,120,648,768
157,19.55,611,1148,106,574,730
158,16.83,570,1165,87,539,714
159,11.27,543,1053,104,508,690
160,33.92,713,1324,111,666,781
161,29.09,627,1177,106,597,752
162,28.00,614,1221,92,578,742
163,25.18,625,1150,95,585,719
164,21.25,579,1203,94,539,716
165,20.88,584,1157,100,561,726
166,18.14,568,1112,93,536,700
167,13.00,512,1065,79,472,676
168,33.80,628,1205,89,585,742
169,24.08,564,1120,108,523,717
170,23.96,553,1112,54,518,690
171,23.82,549,1056,102,509,696
172,23.42,544,1184,59,512,687
173,22.28,509,1077,71,479,690
174,21.38,509,1179,73,479,690
175,20.59,524,1139,59,490,673
